Author_ID,Author_Name
8104610026662259123,M.; Fenoglio
-3885141661569556175,C.; Farotti
2034178678166933297,L.; Nielsen
7709926460005843148,S.F.; Fabrizio
5761256949525515006,T.; Ewers
-4763879899527562,M.; Blázquez
203937464220894629,J.; Engelborghs
1954762179637763373,S.; Duron
3702959498187529166,E.; Djurovic
1073603377574446717,S.; Rossi
5534630212896988358,P.D.; Diez-Fairen
5614121512197082869,M.; Diehl-Schmid
2764227994527948514,J.; Denning
-5504826096018479534,N.; Del-Ser
-7844421868379963453,T.; de Deyn
8347459391570239312,P.P.; Dartigues
-6535042157669408098,J.-F.; Dardiotis
3676661057733871744,E.; Daian
7347294127358203173,D.; Custodero
1843287745645240057,C.; Giuffré
6242200139510328639,G.M.; Corma-Gómez
-3857806988796709794,A.; Conti
-5851515775110649828,E.; Clark
-2105929982567446867,C.; Clarimón
-8699122281009910823,J.; Claassen
627098767330965461,J.A.H.R.; Ciccone
-8126232683347501874,S.; Chillotti
8024027783852709503,C.; Charbonnier
-4792816721250063072,C.; Cervera-Carles
7649572873309205978,L.; Cecchetti
-7035862369768600671,R.; Carracedo
-832132986687056807,Á.; Chêne
5708419972079106930,G.; Calero
2607614607398037368,M.; Burholt
-8531354203586865111,V.; Buerger
-1362651517917778683,K.; Buiza-Rueda
6473578318909632934,D.; Brookes
6792160932665095450,K.J.; Brodaty
-3819955602701050192,H.; Bresner
-4717910811337975821,C.; Bråthen
-3307254457221267808,G.; Bossù
-2949676391856324131,P.; Boschi
6162650021601513887,S.; Tárraga
1311474579038607131,M.; Blesa
-8795428057368613850,R.; Bizarro
-349793324497345147,A.; Bellini
1251317730460314012,S.; Binetti
-6761979519529546773,G.; Bessi
-8447986540926171696,V.; Besse
9208732533568556636,C.; Berr
-5941028050205461549,C.; Pastor
1575926488438437822,A.B.; Baquero
-7652808647186917871,M.; Banaj
935372927816358634,N.; Bailly
7072360421624459039,H.; Athanasiu
-5250295799540127680,L.; Arias
8386232852824544674,A.A.; Archetti
-1113877665363565174,S.; Arcaro
-7529364277363003387,M.; Appollonio
-2329664429320145100,I.; Anthoula
5545095841814543289,T.; Armstrong
-466926321159292057,N.J.; Illan
3333578636857054776,I.; Alegret
-4703306940649709057,M.; Alcolea
-381160604895684906,D.; Alarcón-Martín
-2352739277104871536,E.; Abdelnour
8248237872120866526,C.; Cano
-177262249264024641,A.; Aarsland
6520559117409703210,D.; Ahmad
-5801400009431397486,S.; Kleineidam
1323186501066724768,L.; Dalmasso
-4208558611353033912,M.-C.; Fernández
-3503362472682554409,V.; Andrade
7878439560686952329,V.; van der Lee
-3689617280751752893,S.; Jansen
-5915198189030959578,I.; Frikke- Schmidt
-6965787564364700557,R.; Amin
7021610092204560453,N.; Roshchupkin
5764157089307978667,G.; Lambert
-3029098693179430402,J.-C.; Van Steen
-2794714607057963112,K.; van Duijn
5726146307621157406,C.; Escott-Price
3555846550924596152,Peres
-8590523934402104393,M.; de Almeida
-1658089447755797488,R.; Moreira
219137229672105931,A.
-8427955614156718501,Tavares
1280380528070489286,J.; Láčík
6935631618473269618,J.; Pinho
7487588561624021605,P.; Raida
-3055132872336704097,Z.; Alves
-1436933530984490693,H.
7216773325385597349,Araújo
-2203961245967640003,I.; Campos
-8769412315093662730,P.; Costa
8255084203226307918,A.; Lopes
5353400365300610668,C.; Seco
-5655220693112989756,M.; Costa
1223799487394256484,A.R.; Calejo
-2017669497962582631,M.M.; Pais
6391679971028818116,M.J.; Pereira
3602716220792599428,S.; Morais
-5874839590365311172,S.; Machado
5005394030774084129,J.F.; Ruano
-5517704560758378339,L.; Lunet
3161473899599074048,N.; Tedim Cruz
-9216465251086993053,V.T.
-8001505319494485170,Medina
4544016468596028567,M.; Reyes-Martín
-7796304839736782496,M.P.; Levy
-2422700457139425950,L.; Lázaro-González
1530619523247008555,A.; Andivia
2675679049606123108,E.; Annighöfer
2043416844395679214,P.; Assaad
7114931603261578768,F.; Bauhus
-6890418433707028718,R.; Böhlenius
